hkapanis;hdusuk;hyuksek;hacilis;hfark;wadline;mav10ussel;macd;macdas;rsi;momentum;wilimsry;cci;stokfstk;stokfstd;stokslwk;stokslwd;chaikinsal;volatility;mav5ussel;islemhacmi;pddd;fiyatkazanc;bistyuzkapanis;bistyuzdegisim;dolarkapanis;brentkapanis;tufekapanis;tahvilkapanis;mevduatfaiz;sanuretimi;ekonomiguven;altinons;tuketiciguven;rekurendeksi;ufekapanis;hisseadi
19.18;18.68;20.51;20.03;-3.229061554;6.2452;18.05;2.0622;1.7537;69.416;135.38;-21.4763;81.39;49.2683;61.074;65.7495;70.4251;752;11.3526;19.06;15226900;2.6242;10.7779;78536.17;2.677256336;3.094;48.51;286.33;9.24;9.59;134.3;98.18516467;1277.26;74.3;98.49;260.94;ARCLK
18.81;18.4;19.33;19.14;-1.929092805;4.2026;18.19;2.0001;1.803;66.7806;107.03;-26.7709;55.62;33.1536;47.1138;54.8842;62.6546;-176;1.1385;18.97;22171740;2.5728;10.567;73995.2;-5.782011015;3.4356;51.485;287.81;10.46;10.02;136.2;98.63023961;1173.02;69.3;95.22;266.16;ARCLK
19.89;18.25;19.89;18.84;5.741626794;4.6036;18.5;2.0155;1.8455;70.3019;112.93;-14.249;66.09;57.0032;52.0585;55.5906;59.1226;-224;-18.4878;19.28;20564040;2.7218;11.1786;78138.66;5.59963349;3.5268;56.73;292.54;10.63;11.41;137.9;93.23384187;1151.13;63.9;92.13;274.09;ARCLK
21.45;18.45;22.33;19.8;7.843137255;8.8938;19.04;2.1289;1.9022;74.472;121.66;-8.9152;112.7;78.3908;65.2247;63.1906;61.1566;529;5.9795;20;35480640;2.9349;12.0539;86295.72;10.43921152;3.7723;55.61;299.74;11.15;10.87;121.6;90.10449013;1212;66.6;87.61;284.99;ARCLK
19.59;19.59;22.62;21.53;-8.671328671;8.3178;19.14;2.0452;1.9308;63.0921;106.48;-29.8021;101.67;30.7527;47.9887;52.378;56.7673;623;11.8324;19.87;34672500;2.3602;10.854;87478.33;1.37041559;3.6387;56.49;302.17;11.09;10.77;118.3;94.9935321;1251.54;65.7;88.93;288.59;ARCLK
21.26;19.63;21.55;19.73;8.524757529;8.2964;19.52;2.0896;1.9625;67.8486;119.7;-15.573;109.56;69.0323;58.5105;57.9294;57.3484;803;3.6482;20.33;39318930;2.5614;11.7793;88947.4;1.679353047;3.6344;53.69;305.24;11.3;12.71;137.1;98.3226186;1249.1;67.8;89.58;291.58;ARCLK
22.88;21.1;23.26;21.41;7.619943556;6.4406;20.13;2.2291;2.0159;71.6439;119.38;-5.5325;179.75;92.2927;75.4016;69.3838;63.3661;480;1.571;21.18;29332660;2.6589;11.5675;94655.31;6.417174645;3.5515;51.82;309.23;11.34;12.68;134.3;100.7478739;1268.31;70.8;90.51;293.79;ARCLK
23.57;21.81;24.46;22.86;3.015734266;6.8641;20.76;2.3684;2.0864;73.1182;118.7;-11.3824;183.75;85.2225;80.312;74.6634;69.0147;1221;5.5854;21.98;41146440;2.7397;11.9189;97541.58;3.049242562;3.5275;51.06;310.61;11.04;13.78;137.5;101.436118;1268.71;72.5;91.75;295.31;ARCLK
25.15;23.61;25.91;23.71;6.703436572;7.9403;21.56;2.5768;2.1844;76.1587;126.91;-8.1397;201.8;88.0726;84.1923;79.1331;74.0739;1598;9.697;23.04;27885530;2.9237;12.7193;100440.4;2.971881325;3.521;48.96;309.78;11.12;14.61;127.3;100.6445924;1241.45;69.9;91.66;295.52;ARCLK
25.1;23.98;26.5;25.15;-0.198807157;4.7856;22.2;2.7061;2.2888;75.8209;130.83;-15.2859;164.46;79.4963;81.8443;79.2542;76.664;1642;15.9693;23.72;24980930;2.837;17.7637;107531.4;7.059908164;3.519;52.68;310.24;11.55;13.65;137.1;103.8958297;1269.63;70.9;89.49;297.65;ARCLK
23.17;22.82;24.9;24.9;-7.689243028;4.7039;22.38;2.6226;2.3556;65.4042;123.18;-37.7232;84.27;38.2143;60.0293;65.5742;71.1191;1172;15.6277;23.54;33185800;2.6187;16.3972;110010.5;2.305466124;3.4522;52.77;311.85;11.59;12.58;133.2;106.2339703;1321.53;71;89.61;300.18;ARCLK
21.93;21.33;23.63;23.2;-5.35174795;1.4942;22.3;2.4287;2.3702;59.7467;110.23;-55.4396;28.63;11.5672;35.7982;47.5719;59.3455;315;28.0318;23;40290290;2.4791;15.5227;102907.7;-6.456474609;3.5653;56.68;313.88;11.89;12.29;129.7;104.4402082;1279.53;69.3;90.37;300.9;ARCLK
20;19.29;22.59;21.93;-8.800729594;-1.787;21.88;2.0952;2.3152;52.1554;93.23;-78.8318;-35.45;9.7724;22.7853;34.9721;47.1588;-1169;40.2758;22;72820130;2.1495;14.2513;110142.6;7.030474882;3.7915;61.05;320.4;12.8;12.33;146.6;103.1370774;1270.84;67.6;88.06;306.04;ARCLK
19.12;18.47;20.81;20.02;-4.4;-2.7629;21.38;1.7399;2.2001;49.0986;97.58;-89.4753;-77.86;8.0529;15.4191;25.999;36.5789;-2550;13.9504;21.04;65266930;2.0551;13.6254;103984.4;-5.591115518;3.9188;62.61;325.18;13.73;13.62;145.7;100.1879969;1274.96;65.6;84.32;312.21;ARCLK
20.77;18.92;20.77;19.11;8.629707113;0.4229;21.27;1.5733;2.0748;54.4957;97.68;-69.4749;-55.33;35.7357;25.5774;29.2446;32.9117;-3477;1.4302;20.95;34338770;2.2325;14.8015;115333;10.91375245;3.7903;66.6;327.41;13.4;13.45;146.8;97.91060337;1303.09;65.6;85.16;316.48;ARCLK
1.55;1.3;1.91;1.65;NULL;-0.2559;1.52;0.0707;0.108;53.7311;110.91;-61.5981;47.54;40.4762;54.1472;52.9353;51.7234;197;2;1.52;32928940;0;0;42697.56;-23.12027791;1.1727;92.56;146.94;16.43;16.4;96.7;107.3174566;925.87;78.9;127.52;145.18;AFYON
1.68;1.4;1.87;1.57;8.387096774;-0.1653;1.55;0.0778;0.102;57.6864;110.48;-44.3172;104.21;61.9048;58.026;55.9251;53.8243;296;-7;1.57;34552780;0;0;44776.88;4.869880152;1.218;100.16;148.84;16.94;15.71;95.9;103.520294;973.98;74.4;125.69;148.9;AFYON
1.66;1.5;1.78;1.65;-1.19047619;-0.1818;1.57;0.0813;0.0978;57.1023;109.52;-46.2373;89.37;59.5238;58.7749;57.1247;55.4745;195;-3;1.6;22677910;0;0;39015.44;-12.86699743;1.3366;100.22;150.27;18.54;16.73;104.7;99.24769829;916.82;68.7;117.35;153.62;AFYON
1.39;1.36;1.7;1.69;-16.26506024;-0.5348;1.54;0.0618;0.0906;47.5169;91.04;-81.7591;-43.53;15.4762;37.1256;43.2419;49.3582;169;8;1.53;15714060;0;0;43468.12;11.41260998;1.274;110.61;152.79;19.17;15.76;102.9;93.07580079;877.94;63;111.4;160.53;AFYON
